Code,OI/LO/KUSP,,,
OI.1,Number: Numbers are organized into systems with unique notation to communicate quantities and to facilitate calculations.,,,
OI.1.GQ.1,How can the symmetry of the number line contribute to a sense of number?,,,
OI.1.GQ.1.LO.1,Students analyze positive and negative numbers.,,,
OI.1.GQ.1.LO.1.U.1,Every fraction and decimal number has an additive inverse with the same absolute value and opposite sign.,,,
OI.1.GQ.1.LO.1.U.1.K.1,Absolute value represents the magnitude of any number from zero.,,,
OI.1.GQ.1.LO.1.U.1.K.2,"A negative fraction can be expressed equivalently as ౼a⁄b, -a⁄b, or a⁄-b, for any two positive numbers a and b. ",,,
OI.1.GQ.1.LO.1.U.1.K.3,"Negative decimal numbers can be found in real-world situations, such as
- debt
- change in stock prices
- sea levels
- temperature",,,
OI.1.GQ.1.LO.1.U.1.SP.1,"Relate the absolute value of positive and negative numbers, including decimal numbers and fractions, to their positions on the number line.",,,
OI.1.GQ.1.LO.1.U.1.SP.2,"Convert between fractions and decimal numbers, including negative numbers.",,,
OI.1.GQ.1.LO.1.U.1.SP.3,"Compare and order positive and negative numbers, including decimal numbers and fractions.",,,
OI.1.GQ.1.LO.1.U.1.SP.4,Discuss real-world situations involving negative decimal numbers.,,,
OI.1.GQ.2,How can operations on positive and negative numbers be understood?,,,
OI.1.GQ.2.LO.2,Students apply operations to positive and negative numbers.,,,
OI.1.GQ.2.LO.2.U.1,Addition and subtraction of integers can be represented as numerical expressions.,,,
OI.1.GQ.2.LO.2.U.1.K.1,"The symbol, −, can indicate a negative number or the subtraction operation.",,,
OI.1.GQ.2.LO.2.U.1.K.2,"Addition does not always result in a greater number, and subtraction does not always result in a smaller number.",,,
OI.1.GQ.2.LO.2.U.1.K.3,"Subtraction can be expressed as addition, i.e., a−b=a+(−b)a−b=a+(−b).",,,
OI.1.GQ.2.LO.2.U.1.K.4,"Addition and subtraction of positive and negative numbers can be supported by various processes for adding and subtracting decimal numbers and fractions, such as
- employing standard algorithms
- determining common denominator
- expressing subtraction as related addition",,,
OI.1.GQ.2.LO.2.U.1.SP.1,"Distinguish the meaning of the symbol, −, represented in a numerical expression.",,,
OI.1.GQ.2.LO.2.U.1.SP.2,Add and subtract any two integers.,,,
OI.1.GQ.2.LO.2.U.1.SP.3,Assess the reasonableness of a sum or difference of two integers.,,,
OI.1.GQ.2.LO.2.U.1.SP.4,Solve problems involving addition and subtraction of integers.,,,
OI.1.GQ.2.LO.2.U.2,Products and quotients can be represented as numerical expressions in infinitely many ways.,,,
OI.1.GQ.2.LO.2.U.2.K.1,"The product or quotient of
- two positive numbers is positive
- two negative numbers is positive
- a negative number and a positive number is negative",,,
OI.1.GQ.2.LO.2.U.2.K.2,"Multiplication can be represented symbolically in various ways, i.e., a×b, a⋅b, a(b), and (a)(b).",,,
OI.1.GQ.2.LO.2.U.2.K.3,"Any negative number can be expressed as the product of its inverse and −1 , i.e., −a=−1(a).",,,
OI.1.GQ.2.LO.2.U.2.SP.1,Multiply and divide any two integers.,,,
OI.1.GQ.2.LO.2.U.2.SP.2,Investigate whether a product or quotient of three or more integers will be positive or negative.,,,
OI.1.GQ.2.LO.2.U.2.SP.3,"Create various expressions of the same product, using positive and negative factors.",,,
OI.1.GQ.2.LO.2.U.2.SP.4,Assess the reasonableness of a product or quotient of integers.,,,
OI.1.GQ.2.LO.2.U.2.SP.5,Solve problems involving multiplication and division of integers.,,,
OI.1.GQ.3,How can different representations provide new perspectives of squares and cubes?,,,
OI.1.GQ.3.LO.3,Students interpret perfect squares and perfect cubes.,,,
OI.1.GQ.3.LO.3.U.1,A square can be interpreted as a number and as a shape.,,,
OI.1.GQ.3.LO.3.U.1.K.1,The product of two identical factors is a perfect square.,,,
OI.1.GQ.3.LO.3.U.1.K.2,"A perfect square can be represented as a power with the exponent two, i.e., a2.",,,
OI.1.GQ.3.LO.3.U.1.K.3,"The square root of a perfect square is one of the two identical factors and can be expressed symbolically by using a radical sign, √□​.",,,
OI.1.GQ.3.LO.3.U.1.K.4,"A perfect square can be represented by the area of a square, while the side length can be expressed as a square root.",,,
OI.1.GQ.3.LO.3.U.1.SP.1,Identify the base and exponent in a perfect square.,,,
OI.1.GQ.3.LO.3.U.1.SP.2,Express a perfect square as repeated multiplication and a power.,,,
OI.1.GQ.3.LO.3.U.1.SP.3,"Recall perfect squares within 144 and their square roots, limited to natural numbers.",,,
OI.1.GQ.3.LO.3.U.1.SP.4,"Solve problems involving perimeter and area of squares, limited to side lengths that are natural numbers.",,,
OI.1.GQ.3.LO.3.U.2,A cube can be interpreted as a number and as a shape.,,,
OI.1.GQ.3.LO.3.U.2.K.1,The product of three identical positive factors is a perfect cube.,,,
OI.1.GQ.3.LO.3.U.2.K.2,"A perfect cube can be represented as a power with the exponent three, i.e., a3.",,,
OI.1.GQ.3.LO.3.U.2.K.3,"The cube root of a perfect cube is one of the three identical natural number factors and can be expressed symbolically by using a radical sign, ∛□​.",,,
OI.1.GQ.3.LO.3.U.2.K.4,"The volume of a cube can be represented by a perfect cube, while the length of an edge can be expressed as a cube root.",,,
OI.1.GQ.3.LO.3.U.2.SP.1,Identify the base and exponent in a perfect cube.,,,
OI.1.GQ.3.LO.3.U.2.SP.2,Express a perfect cube as repeated multiplication and a power.,,,
OI.1.GQ.3.LO.3.U.2.SP.3,"Recall perfect cubes within 125 and their cube roots, limited to natural numbers.",,,
OI.1.GQ.3.LO.3.U.2.SP.4,"Solve problems involving volume of cubes, limited to edge lengths that are natural numbers.",,,
OI.1.GQ.4,How can multiplication and division be generalized?,,,
OI.1.GQ.4.LO.4,Students interpret multiplication and division of positive fractions and of positive decimal numbers.,,,
OI.1.GQ.4.LO.4.U.1,The product of two fractions can be interpreted as part of a part.,,,
OI.1.GQ.4.LO.4.U.1.K.1,"The product of two fractions is the fraction resulting from multiplication of the numerators and multiplication of the denominators, i.e., a/b x c/d = ac/bd​ and can be applied to real-world situations such as adjusting recipes.",,,
OI.1.GQ.4.LO.4.U.1.K.2,"Multiplication of two fractions can be represented by a model, e.g., an area model.",,,
OI.1.GQ.4.LO.4.U.1.K.3,The product of two proper fractions is less than its factors.,,,
OI.1.GQ.4.LO.4.U.1.K.4,A proper fraction is a fraction in which the numerator is less than the denominator.,,,
OI.1.GQ.4.LO.4.U.1.K.5,The product of two fractions is equivalent to the product of any equivalent forms of those fractions.,,,
OI.1.GQ.4.LO.4.U.1.SP.1,Model multiplication of fractions.,,,
OI.1.GQ.4.LO.4.U.1.SP.2,Relate the product of a fraction by a fraction to part of a part.,,,
OI.1.GQ.4.LO.4.U.1.SP.3,Multiply two fractions.,,,
OI.1.GQ.4.LO.4.U.1.SP.4,"Compare products of fractions in various equivalent forms, including simplest form.",,,
OI.1.GQ.4.LO.4.U.1.SP.5,Solve problems involving multiplication of two fractions.,,,
OI.1.GQ.4.LO.4.U.2,The quotient of any quantity and a fraction can be interpreted as the number of fraction-sized groups that compose the quantity.,,,
OI.1.GQ.4.LO.4.U.2.K.1,"Division by a fraction is equivalent to multiplication by its reciprocal, i.e., a/b÷c/d=a/b×d/c=ad/bc and a÷b/c=a×c/b=ac/b​ and can be applied to real-world situations such as sharing food and cutting materials.",,,
OI.1.GQ.4.LO.4.U.2.K.2,A reciprocal is the multiplicative inverse of a fraction.,,,
OI.1.GQ.4.LO.4.U.2.K.3,The product of a fraction and its reciprocal is 1.,,,
OI.1.GQ.4.LO.4.U.2.K.4,The quotient of a number and a proper fraction is greater than the number.,,,
OI.1.GQ.4.LO.4.U.2.K.5,Division of two fractions can be facilitated by representing the fractions with common denominators.,,,
OI.1.GQ.4.LO.4.U.2.K.6,"The quotient of two fractions with common denominators is the quotient of the two numerators, i.e., a/b÷c/b=a/c",,,
OI.1.GQ.4.LO.4.U.2.SP.1,Relate a number to its reciprocal.,,,
OI.1.GQ.4.LO.4.U.2.SP.2,Prove that multiplication of a fraction and its reciprocal is 1.,,,
OI.1.GQ.4.LO.4.U.2.SP.3,Divide a natural number by a fraction and vice versa.,,,
OI.1.GQ.4.LO.4.U.2.SP.4,Divide a fraction by a fraction.,,,
OI.1.GQ.4.LO.4.U.2.SP.5,Investigate the composition of a quantity by fraction-sized groups.,,,
OI.1.GQ.4.LO.4.U.2.SP.6,Solve problems involving division of two fractions.,,,
OI.1.GQ.4.LO.4.U.3,Equivalent expressions can facilitate multiplication and division of decimal numbers.,,,
OI.1.GQ.4.LO.4.U.3.K.1,"Multiplication and division of a decimal number by a decimal number can be supported by processes, such as
- expressing decimal numbers as fractions
- using standard algorithms
- using area models",,,
OI.1.GQ.4.LO.4.U.3.K.2,Equivalent division expressions can be created when dividing decimal numbers by multiplying the divisor and dividend by the same factor.,,,
OI.1.GQ.4.LO.4.U.3.SP.1,"Multiply and divide decimal numbers, including dividing a natural number by a decimal number.",,,
OI.1.GQ.4.LO.4.U.3.SP.2,"Solve problems involving decimal numbers, including in real-world situations.",,,
OI.1.GQ.4.LO.4.U.4,Equivalent forms of mathematical expressions can facilitate evaluation.,,,
OI.1.GQ.4.LO.4.U.4.K.1,"The conventional order of operations applies to integers, fractions, and decimal numbers.",,,
OI.1.GQ.4.LO.4.U.4.SP.1,Evaluate numerical expressions according to the order of operations.,,,
OI.1.GQ.5,In what ways can proportional relationships be characterized?,,,
OI.1.GQ.5.LO.5,Students analyze multiplicative relationships between equivalent ratios.,,,
OI.1.GQ.5.LO.5.U.1,Multiplicative relationships are foundational to proportional reasoning.,,,
OI.1.GQ.5.LO.5.U.1.K.1,"The terms of a ratio can be any numbers, including integers, decimal numbers, or fractions.",,,
OI.1.GQ.5.LO.5.U.1.K.2,The first term of a ratio can be less than or greater than the second term.,,,
OI.1.GQ.5.LO.5.U.1.K.3,"A ratio can be iterated by multiplying both terms by the same factor, e.g., a/b=5a/5b",,,
OI.1.GQ.5.LO.5.U.1.K.4,"A ratio can be partitioned by dividing both terms by the same factor, e.g., a:b=a/4:b/4",,,
OI.1.GQ.5.LO.5.U.1.K.5,Equivalent ratios are related by a factor.,,,
OI.1.GQ.5.LO.5.U.1.K.6,"The factor relating equivalent ratios can be a natural number, decimal number, or fraction.",,,
OI.1.GQ.5.LO.5.U.1.K.7,A proportional relationship expressed as a/b=c/d is equivalent to ad=bc.,,,
