Code,OI/LO/KUSP,Unit 1,Unit 2,Unit 3,Unit 4,Unit 5,Selected?,,,,
OI.1,"Time and Place: Exploring the dynamic relationships between people, place, and time supports understanding of perspectives and events to make meaning of the world.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1,How has Canada changed since Confederation?,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
OI.1.GQ.1.LO.1,Students examine post-Confederation expansion of the Dominion of Canada.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1,Expansion can have lasting impacts on populations.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.K.1,The evolution of political boundaries began prior to Confederation and included New France becoming part of British North America.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.K.2,"As negotiations for Confederation began, British North America included
- Rupert’s Land
- the North-Western Territory
- the colonies of Prince Edward Island, Nova Scotia, New Brunswick (the Maritimes), and Newfoundland; the Province of Canada (British Upper Canada and Lower Canada, which became Canada West and Canada East); and British Columbia",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.K.3,"In the years following the American Civil War, some leaders in British North America were concerned about the possibility of United States territorial expansion northward. These concerns contributed to support for Confederation as a means of strengthening political unity and securing British interests in the region.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.K.4,"The Fathers of Confederation represented the colonies of the Province of Canada, New Brunswick, and Nova Scotia who met at the Charlottetown and Quebec Conferences (1864) and at the London Conference (1866–67) with the goal of negotiating Confederation on behalf of the British North American colonies.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.K.5,"During the Quebec Conference, 72 resolutions were made, which became the basis for the July 1,1867, British North America Act.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.K.6,"At Confederation on July 1, 1867, the four provinces of the Dominion of Canada were Nova Scotia, New Brunswick, Quebec, and Ontario.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
