Code,OI/LO/KUSP
OI.1,Number: Numbers are organized into systems with unique notation to communicate quantities and to facilitate calculations.
OI.1.GQ.1,How can the density of the number line contribute to a sense of number?
OI.1.GQ.1.LO.1,Students interpret rational and irrational numbers.
OI.1.GQ.1.LO.1.U.1,There are infinitely many rational numbers between any two rational numbers on the number line.
OI.1.GQ.1.LO.1.U.1.K.1,The set of real numbers includes the sets of rational numbers and irrational numbers.
OI.1.GQ.1.LO.1.U.1.K.2,"A rational number can be expressed as the quotient of two integers, a/b​ , where b≠0."
OI.1.GQ.1.LO.1.U.1.K.3,Rational numbers are terminating or repeating decimal numbers.
OI.1.GQ.1.LO.1.U.1.K.4,"A repeating decimal, represented with a segment over the repeating digit(s), is a decimal number that contains a digit or group of digits that repeat endlessly."
OI.1.GQ.1.LO.1.U.1.K.5,The set of rational numbers includes the sets of natural numbers and integers.
OI.1.GQ.1.LO.1.U.1.K.6,The conventional order of operations applies to operations on rational numbers.
OI.1.GQ.1.LO.1.U.1.SP.1,Express rational numbers as fractions and decimal numbers.
OI.1.GQ.1.LO.1.U.1.SP.2,"Classify natural numbers, integers, and rational numbers."
OI.1.GQ.1.LO.1.U.1.SP.3,Relate a rational number to its position on the number line.
OI.1.GQ.1.LO.1.U.1.SP.4,Compare and order rational numbers.
OI.1.GQ.1.LO.1.U.1.SP.5,Determine a rational number between any two given rational numbers.
OI.1.GQ.1.LO.1.U.1.SP.6,Investigate fractions that result in repeating decimals.
OI.1.GQ.1.LO.1.U.1.SP.7,"Add, subtract, multiply, and divide any two rational numbers."
OI.1.GQ.1.LO.1.U.1.SP.8,"Assess the reasonableness of a sum, difference, product, or quotient, using estimation."
OI.1.GQ.1.LO.1.U.1.SP.9,Evaluate numerical expressions involving rational numbers according to the order of operations.
OI.1.GQ.1.LO.1.U.1.SP.10,Solve problems involving rational numbers in real-world situations.
OI.1.GQ.1.LO.1.U.2,Irrational numbers fill the gaps between rational numbers on the number line.
OI.1.GQ.1.LO.1.U.2.K.1,An irrational number is a real number that is not rational.
OI.1.GQ.1.LO.1.U.2.K.2,"An irrational number cannot be expressed as the quotient of two integers, a/b​."
OI.1.GQ.1.LO.1.U.2.K.3,"Irrational numbers are non-terminating, non-repeating decimal numbers."
OI.1.GQ.1.LO.1.U.2.K.4,The approximate value of an irrational number can be expressed by using a rounded decimal number.
OI.1.GQ.1.LO.1.U.2.K.5,"An irrational number can be expressed as an exact value, such as √2​ or π."
OI.1.GQ.1.LO.1.U.2.SP.1,Distinguish between rational numbers and irrational numbers.
OI.1.GQ.1.LO.1.U.2.SP.2,Classify the expression of an irrational number as exact or approximate.
OI.1.GQ.1.LO.1.U.2.SP.3,Approximate an irrational number as a rounded decimal.
OI.1.GQ.1.LO.1.U.2.SP.4,Express an irrational number as an exact value.
OI.1.GQ.1.LO.1.U.2.SP.5,Relate an irrational number to its approximate position on the number line.
OI.1.GQ.1.LO.1.U.2.SP.6,Compare and order real numbers.
OI.1.GQ.2,In what ways can rational and irrational numbers support interpretation of roots and powers?
OI.1.GQ.2.LO.2,Students interpret square roots of perfect and non-perfect squares.
OI.1.GQ.2.LO.2.U.1,Square roots can be explained with rational numbers and irrational numbers.
OI.1.GQ.2.LO.2.U.1.K.1,A non-perfect square is the product of two identical irrational numbers.
